monitoredObjectSiteId,displayedName,timeCaptured,aggregatePkts,aggregateOctets
10.1.1.1,A1-A2,2021-07-26 16:40:00,17123212657,2448990634056
10.1.1.1,A1-B2,2021-07-26 16:40:00,8350713284,1223828934746
10.1.1.4,A2-A1,2021-07-26 16:40:00,17864712139,2533024602556
10.1.1.4,A2-B2,2021-07-26 16:40:00,22818911,2412629932
